문장,label
"그래, 이 위에 무슨 일로 왔냐고 물어봐",대화형-긍정-현재-확실
"그래, 원하는 게 뭐냐고 물어봐",대화형-긍정-현재-확실
"좋아, 나한테 맡겨",추론형-긍정-현재-확실
분홍 코끼리야!,대화형-긍정-현재-확실
분홍 코끼리?,대화형-긍정-현재-확실
뭐가 그리 우스워?,대화형-긍정-현재-확실
너희들이 땅에 웬일이야?,대화형-긍정-현재-확실
우리가 땅에 웬일이냐고?,대화형-긍정-현재-확실
생쥐 친구 말하는 것 좀 보게,대화형-긍정-현재-확실
나무 위에나 올라가 있어,사실형-긍정-현재-확실
"이것 봐, 생쥐 친구",추론형-긍정-현재-확실
생쥐 친구!,사실형-긍정-현재-확실
"이봐, 난 네 친구가 아니야 생쥐는 더욱 아니고",대화형-부정-현재-확실
그럼 자네랑 코끼리도 나무 위에 있는 게 아니겠네,대화형-부정-현재-확실
내가 나무 위에 왜 올라가겠어,대화형-긍정-현재-확실
나무?,사실형-긍정-현재-확실
덤보! 덤보!,사실형-긍정-현재-확실
"일어나, 덤보!",대화형-긍정-현재-확실
내려다보지마 그런데 우리가 나무 위에 있는 것 같아,대화형-긍정-현재-불확실
까마귀한테는 신경 쓸 필요 없어,대화형-부정-현재-확실
"이리와, 덤보",사실형-긍정-현재-확실
서커스단으로 돌아가야지,추론형-긍정-미래-확실
잘 들 가봐,대화형-긍정-현재-확실
그런데 나무 위엔 어떻게 올라 간 거지?,대화형-긍정-과거-확실
어디 보자,대화형-긍정-현재-확실
"코끼리는 나무에 올라가지 못해, 그렇지?",대화형-부정-현재-확실
말도 안되지,사실형-부정-현재-확실
뛰어 올랐을 리도 없고,추론형-부정-과거-불확실
너무 높잖아,대화형-긍정-현재-확실
날아 올랐나보지,대화형-미정-과거-불확실
날아올랐나 봐,대화형-긍정-과거-불확실
"덤보, 네가 난 거야!",대화형-긍정-현재-확실
내가 바보였어,대화형-긍정-과거-확실
왜 그런 생각을 못했지?,대화형-부정-과거-확실
"네 귀를 좀 봐, 덤보!",대화형-긍정-현재-확실
웬만한 날개보다도 크잖아,대화형-긍정-현재-확실
옛날엔 애물 단지였지만 이젠 보물 단지가 될 거야,대화형-긍정-미래-불확실
이제야 확실히 알겠어,추론형-긍정-현재-확실
